ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Proto-Semitic,Proto-Semitic,,,,,
Akkadian,Akkadian,,,,,
Gulf_Arabic,Gulf Arabic,,,,,
Maltese,Maltese,,,,,
Classical_Syriac,Classical Syriac,,,,,
Yiddish,Yiddish,,,,,
Hebrew,Hebrew,,,,,
Arabic,Arabic,,,,,
Hijazi_Arabic,Hijazi Arabic,,,,,
Moroccan_Arabic,Moroccan Arabic,,,,,
South_Levantine_Arabic,South Levantine Arabic,,,,,
Ottoman_Turkish,Ottoman Turkish,,,,,
Persian,Persian,,,,,
Classical_Mandaic,Classical Mandaic,,,,,
Punic,Punic,,,,,
Ugaritic,Ugaritic,,,,,
Old_South_Arabian,Old South Arabian,,,,,
Amharic,Amharic,,,,,
Ge'ez,Ge'ez,,,,,
Tigrinya,Tigrinya,,,,,
Tigre,Tigre,,,,,
Mehri,Mehri,,,,,
Shehri,Shehri,,,,,
Soqotri,Soqotri,,,,,
Coptic,Coptic,,,,,
Turkish,Turkish,,,,,
Aramaic,Aramaic,,,,,
Egyptian_Arabic,Egyptian Arabic,,,,,
Azerbaijani,Azerbaijani,,,,,
Malay,Malay,,,,,
Lishana_Deni,Lishana Deni,,,,,
Mandaic,Mandaic,,,,,
Central_Neo-Aramaic,Central Neo-Aramaic,,,,,
Sabaean,Sabaean,,,,,
Biblical_Hebrew,Biblical Hebrew,,,,,
Phoenician,Phoenician,,,,,
Sumerian,Sumerian,,,,,
Eblaite,Eblaite,,,,,
Ancient_Greek,Ancient Greek,,,,,
Jewish_Palestinian_Aramaic,Jewish Palestinian Aramaic,,,,,
Jewish_Babylonian_Aramaic,Jewish Babylonian Aramaic,,,,,
Samaritan_Aramaic,Samaritan Aramaic,,,,,
Inor,Inor,,,,,
Chaha,Chaha,,,,,
Ezha,Ezha,,,,,
Gyeto,Gyeto,,,,,
Muher,Muher,,,,,
Ammonite,Ammonite,,,,,
Edomite,Edomite,,,,,
Moabite,Moabite,,,,,
Swahili,Swahili,,,,,
fossiziled_perhaps_Akkadian,fossiziled perhaps Akkadian,,,,,
Hadrami,Hadrami,,,,,
Minaean,Minaean,,,,,
Qatabanian,Qatabanian,,,,,
Harari,Harari,,,,,
Gurage,Gurage,,,,,
Gothic,Gothic,,,,,
Translingual,Translingual,,,,,
Armenian,Armenian,,,,,
Old_Georgian,Old Georgian,,,,,
Uyghur,Uyghur,,,,,
Indonesian,Indonesian,,,,,
Jewish_Literary_Aramaic,Jewish Literary Aramaic,,,,,
Harsusi,Harsusi,,,,,
Bengali,Bengali,,,,,
Hindustani,Hindustani,,,,,
Gujarati,Gujarati,,,,,
Hadramautic,Hadramautic,,,,,
Classical_Persian,Classical Persian,,,,,
Hittite,Hittite,,,,,
Hurrian,Hurrian,,,,,
Neo-Babylonian,Neo-Babylonian,,,,,
Georgian,Georgian,,,,,
Sanskrit,Sanskrit,,,,,
Italian,Italian,,,,,
Parthian,Parthian,,,,,
Burmese,Burmese,,,,,
Pashto,Pashto,,,,,
Sogdian,Sogdian,,,,,
Amorite,Amorite,,,,,
Imperial_Aramaic,Imperial Aramaic,,,,,
Egyptian,Egyptian,,,,,
,,,,,,
Maranao,Maranao,,,,,
Iranian_Persian,Iranian Persian,,,,,
Tajik,Tajik,,,,,
Serbo-Croatian,Serbo-Croatian,,,,,
Safaitic,Safaitic,,,,,
Luwian,Luwian,,,,,
Modern_Aramaic,Modern Aramaic,,,,,
Cappadocian_Greek,Cappadocian Greek,,,,,
Romani,Romani,,,,,
Chagatai,Chagatai,,,,,
Central_Atlas_Tamazight,Central Atlas Tamazight,,,,,
Dutch,Dutch,,,,,
Turoyo,Turoyo,,,,,
Argobba,Argobba,,,,,
Gafat,Gafat,,,,,
Kistane,Kistane,,,,,
Kurdish,Kurdish,,,,,
Algerian_Arabic,Algerian Arabic,,,,,
Andalusian_Arabic,Andalusian Arabic,,,,,
Baharna_Arabic,Baharna Arabic,,,,,
Chadian_Arabic,Chadian Arabic,,,,,
Hassaniya_Arabic,Hassaniya Arabic,,,,,
Iraqi_Arabic,Iraqi Arabic,,,,,
Juba_Arabic,Juba Arabic,,,,,
Nubi,Nubi,,,,,
Libyan_Arabic,Libyan Arabic,,,,,
North_Levantine_Arabic,North Levantine Arabic,,,,,
Sudanese_Arabic,Sudanese Arabic,,,,,
Hobyót,Hobyót,,,,,
Bathari,Bathari,,,,,
Dahalik,Dahalik,,,,,
Silt'e,Silt'e,,,,,
Wolane,Wolane,,,,,
Zay,Zay,,,,,
Laz,Laz,,,,,
Mingrelian,Mingrelian,,,,,
Svan,Svan,,,,,
Sebat_Bet_Gurage,Sebat Bet Gurage,,,,,
Baluchi,Baluchi,,,,,
Khalaj,Khalaj,,,,,
Amahai,Amahai,,,,,
Tausug,Tausug,,,,,
Uzbek,Uzbek,,,,,
Old_Armenian,Old Armenian,,,,,
Avar,Avar,,,,,
Bashkir,Bashkir,,,,,
Northeastern_Neo-Aramaic,Northeastern Neo-Aramaic,,,,,
Aymälläl,Aymälläl,,,,,
Goggot,Goggot,,,,,
Mesqan,Mesqan,,,,,
"Biblical_Aramaic,_Jewish_Palestinian_Aramaic,_Jewish_Literary_Aramaic,_Jewish_Babylonian_Aramaic","Biblical Aramaic, Jewish Palestinian Aramaic, Jewish Literary Aramaic, Jewish Babylonian Aramaic",,,,,
"Christian_Palestinian_Aramaic,_Classical_Syriac","Christian Palestinian Aramaic, Classical Syriac",,,,,
Punjabi,Punjabi,,,,,
Christian_Palestinian_Aramaic,Christian Palestinian Aramaic,,,,,
Western_Neo-Aramaic,Western Neo-Aramaic,,,,,
Assyrian_Neo-Aramaic,Assyrian Neo-Aramaic,,,,,
German,German,,,,,
Latin,Latin,,,,,
Afar,Afar,,,,,
Kazakh,Kazakh,,,,,
Kyrgyz,Kyrgyz,,,,,
Somali,Somali,,,,,
Spanish,Spanish,,,,,
Israeli_Hebrew,Israeli Hebrew,,,,,
Sidamo,Sidamo,,,,,
Western_Middle_Aramaic,Western Middle Aramaic,,,,,
Eastern_Middle_Aramaic,Eastern Middle Aramaic,,,,,
Urdu,Urdu,,,,,
Hindi,Hindi,,,,,
Dadanitic,Dadanitic,,,,,
Samaritan_Hebrew,Samaritan Hebrew,,,,,
Tunisian_Arabic,Tunisian Arabic,,,,,
Chaldean_Neo-Aramaic,Chaldean Neo-Aramaic,,,,,
Emarite,Emarite,,,,,
Japanese,Japanese,,,,,
Breton,Breton,,,,,
Korean,Korean,,,,,
Welsh,Welsh,,,,,
"Čäha,_Äža,_Ənor","Čäha, Äža, Ənor",,,,,
Gyäto,Gyäto,,,,,
Mäsqan,Mäsqan,,,,,
Proto-Berber,Proto-Berber,,,,,
Judeo-Arabic,Judeo-Arabic,,,,,
Hatran_Aramaic,Hatran Aramaic,,,,,
Sindhi,Sindhi,,,,,
Thamudic,Thamudic,,,,,
Awngi,Awngi,,,,,
Zazaki,Zazaki,,,,,
Northern_Kurdish,Northern Kurdish,,,,,
Malayalam,Malayalam,,,,,
Portuguese,Portuguese,,,,,
Palmyrene_Aramaic,Palmyrene Aramaic,,,,,
Ancient_North_Arabian,Ancient North Arabian,,,,,
Blin,Blin,,,,,
Catalan,Catalan,,,,,
French,French,,,,,
"Jewish_Palestinian_Aramaic,_Jewish_Literary_Aramaic,_Jewish_Babylonian_Aramaic","Jewish Palestinian Aramaic, Jewish Literary Aramaic, Jewish Babylonian Aramaic",,,,,
Alaba,Alaba,,,,,
Saho,Saho,,,,,
Syriac,Syriac,,,,,
Kabyle,Kabyle,,,,,
Nabataean_Aramaic,Nabataean Aramaic,,,,,
Old_Aramaic,Old Aramaic,,,,,
Dongolawi,Dongolawi,,,,,
Javanese,Javanese,,,,,
Sundanese,Sundanese,,,,,
Yemeni_Arabic,Yemeni Arabic,,,,,
